,Group,FA,FA StdDev,MD,MD StdDev,RD,RD StdDev,AD,AD StdDev
000070,A,0.5840817093849182,0.2678706645965576,0.001057668006978929,0.0005162477609701455,0.0006737164221704006,0.0005793969030492008,0.001825571060180664,0.00048170858644880354
000080,A,0.5875276923179626,0.2390010952949524,0.00097795226611197,0.0004534412291832268,0.0006226557889021933,0.0005033414927311242,0.0016885455697774887,0.00045270565897226334
000089,A,0.6682441830635071,0.22658073902130127,0.0008816093904897571,0.00035247174673713744,0.0004820124595426023,0.0004012287827208638,0.0016808032523840666,0.0004078324418514967
000091,A,0.5796240568161011,0.23248392343521118,0.0009502896573394537,0.00040490643004886806,0.0006049788207747042,0.0004603185225278139,0.0016409112140536308,0.0003820634738076478
000095,A,0.5930484533309937,0.2518013119697571,0.0009449974750168622,0.00043612837907858193,0.0005400865920819342,0.00047140527749434114,0.0017548194155097008,0.0005217052530497313
000098,A,0.6021348237991333,0.25733810663223267,0.000995010370388627,0.00039044747245498,0.0006113810231909156,0.0004772010142914951,0.0017622691811993718,0.00035211507929489017
000103,A,0.6096950173377991,0.21056680381298065,0.0009438441484235227,0.0004427427484188229,0.0005939906695857644,0.00047333750990219414,0.0016435511643067002,0.0004596077196765691
000290,A,0.5828045010566711,0.23100456595420837,0.001077404129318893,0.00043411823571659625,0.0006847993936389685,0.0004958625650033355,0.0018626133678480983,0.0004112247552257031
000292,A,0.5856878757476807,0.2398337721824646,0.0009051105589605868,0.00032601377461105585,0.0005145561881363392,0.0003532128466758877,0.0016862195916473866,0.0003891985979862511
000316,A,0.5766281485557556,0.2601225972175598,0.0009815751109272242,0.0004050730785820633,0.000625168380793184,0.00047711635124869645,0.0016943885711953044,0.000396202492993325
000391,A,0.639942467212677,0.21608315408229828,0.000883406144566834,0.00037941450136713684,0.000508165278006345,0.00040484132478013635,0.0016338879941031337,0.0004362615873105824
000421,A,0.6204996705055237,0.25239330530166626,0.0008440515957772732,0.00033181312028318644,0.0004992893082089722,0.00038261301233433187,0.0015335760544985533,0.0003768902097363025
000426,A,0.647626519203186,0.27140799164772034,0.0009322968544438481,0.0003951640392187983,0.000529847398865968,0.00046553215361200273,0.0017371958820149302,0.00039613890112377703
000448,A,0.6165087819099426,0.24544955790042877,0.0008621909655630589,0.0003114360151812434,0.0005148665513843298,0.00038145517464727163,0.0015568399103358388,0.00031349060009233654
000456,A,0.6176592111587524,0.24892903864383698,0.000906513596419245,0.00031412349198944867,0.0005316765746101737,0.00039003073470667005,0.0016561878146603703,0.00032853696029633284
000656,A,0.6183781027793884,0.24817444384098053,0.000934671494178474,0.0004292477678973228,0.0005789793212898076,0.0004970480804331601,0.001646055723540485,0.00038777251029387116
000009,J,0.6102499961853027,0.2603006660938263,0.0008943862630985677,0.0003824521554633975,0.0005252325208857656,0.0004478761984501034,0.0016326939221471548,0.0003864912723656744
000021,J,0.628899097442627,0.27876976132392883,0.0011373322922736406,0.0005970912170596421,0.0007117002387531102,0.0006771184271201491,0.001988596050068736,0.000527823343873024
000057,J,0.6027638912200928,0.22283072769641876,0.0009321771212853491,0.00046405542525462806,0.0005735487793572247,0.0005056544905528426,0.001649433746933937,0.00045927814790047705
000068,J,0.5835057497024536,0.23748444020748138,0.0009516794234514236,0.00032189764897339046,0.0005767304683104157,0.0003673381870612502,0.0017015774501487613,0.0003632626321632415
000083,J,0.5954208970069885,0.26504629850387573,0.0010073184967041016,0.00048517357208766043,0.0006282791728153825,0.0005370096769183874,0.0017653971444815397,0.0005087431636638939
000085,J,0.5832175612449646,0.25321951508522034,0.0008902943227440119,0.0004261337744537741,0.0005667652585543692,0.0004698403354268521,0.0015373523347079754,0.0004067771078553051
000090,J,0.5874167084693909,0.23678138852119446,0.0009077557479031384,0.00039502212894149125,0.0005714698345400393,0.0004426805826369673,0.0015803275164216757,0.000393031194107607
000104,J,0.5188628435134888,0.21844956278800964,0.0010650723706930876,0.0004035971942357719,0.0007243432919494808,0.00047715965774841607,0.0017465305281803012,0.0003208165871910751
000106,J,0.3344120979309082,0.3072645366191864,0.001344250631518662,0.0008218499133363366,0.0010737576521933079,0.0008592568337917328,0.0018852362409234047,0.0008222917094826698
000108,J,0.6099541187286377,0.23852349817752838,0.0009488344076089561,0.00046803944860585034,0.0005830480367876589,0.000512773054651916,0.0016804073238745332,0.00048307949327863753
000114,J,0.6383239030838013,0.2592471241950989,0.0009582314523868263,0.00044993843766860664,0.0005624513723887503,0.0005181565065868199,0.0017497915541753173,0.00039724321686662734
000115,J,0.6674723625183105,0.24462655186653137,0.0008824118413031101,0.0003451368538662791,0.00048153006355278194,0.00041965601849369705,0.0016841754550114274,0.0003160086052957922
000273,J,0.6065412163734436,0.2756654918193817,0.0010198462987318635,0.0004140922683291137,0.0006245579570531845,0.0005008810549043119,0.0018104232149198651,0.00038158928509801626
000277,J,0.6039795279502869,0.23619027435779572,0.0009537613368593156,0.00037599567440338433,0.000579436426050961,0.00044986020657233894,0.0017024112166836858,0.0003487193025648594
000281,J,0.6308134198188782,0.23935991525650024,0.000946071173530072,0.00035847240360453725,0.0005333712324500084,0.00041619630064815283,0.0017714709974825382,0.0003816074167843908
000282,J,0.5924078226089478,0.2319604456424713,0.0010410480899736285,0.0005231629475019872,0.0006532454863190651,0.0005586012848652899,0.0018166532972827554,0.0005600175936706364
000285,J,0.6020918488502502,0.20864006876945496,0.0008973947260528803,0.00035145835136063397,0.0005513670621439815,0.00039605432539246976,0.001589450053870678,0.0003594882145989686
000286,J,0.5872890949249268,0.232770174741745,0.0011121174320578575,0.0004970298614352942,0.0007099387003108859,0.000543617585208267,0.001916475361213088,0.0004933102754876018
000288,J,0.6008426547050476,0.26267170906066895,0.0009552081464789808,0.0003879430005326867,0.0005575778777711093,0.0004677275428548455,0.0017504687421023846,0.00040082368650473654
000289,J,0.6032243371009827,0.2381156086921692,0.0011269454844295979,0.0004954017349518836,0.0006698547513224185,0.0005348853301256895,0.002041126834228635,0.000585272500757128
000291,J,0.6166252493858337,0.2518513798713684,0.0010027617681771517,0.00045296380994841456,0.0006097083096392453,0.0005187413771636784,0.00178886903449893,0.0004722593876067549
000293,J,0.6025714874267578,0.24948938190937042,0.0010209084721282125,0.0004425920487847179,0.0006139164324849844,0.0005020665121264756,0.0018348927842453122,0.0004405178187880665
000294,J,0.6156201362609863,0.22842703759670258,0.0009628405678085983,0.0003330464824102819,0.0005639892187900841,0.0003821358550339937,0.0017605435568839312,0.00040617366903461516
000295,J,0.5993843674659729,0.2522045373916626,0.001112245605327189,0.0004844106442760676,0.000689118227455765,0.0005656355642713606,0.0019585005939006805,0.0004681629652623087
000297,J,0.6219431161880493,0.20023126900196075,0.0009760247194208205,0.00035944333649240434,0.0005733228172175586,0.00038265754119493067,0.0017814283492043614,0.0004434197035152465
000301,J,0.5941844582557678,0.25268667936325073,0.0009953771950677037,0.00042847436270676553,0.0005923249991610646,0.0004670364724006504,0.0018014813540503383,0.0004944839165546
